Optimising function: ackley (dim=100, swarm size=30)
Step 0,    w=0.73,    min_err=,    1.97453e+01
Step 50,    w=0.73,    min_err=,    1.92477e+01
Step 100,    w=0.72,    min_err=,    1.89369e+01
Step 150,    w=0.72,    min_err=,    1.87533e+01
Step 200,    w=0.72,    min_err=,    1.85004e+01
Step 250,    w=0.72,    min_err=,    1.80769e+01
Step 300,    w=0.71,    min_err=,    1.78321e+01
Step 350,    w=0.71,    min_err=,    1.75537e+01
Step 400,    w=0.71,    min_err=,    1.73062e+01
Step 450,    w=0.70,    min_err=,    1.71410e+01
Step 500,    w=0.70,    min_err=,    1.67391e+01
Step 550,    w=0.70,    min_err=,    1.61453e+01
Step 600,    w=0.70,    min_err=,    1.60283e+01
Step 650,    w=0.69,    min_err=,    1.59244e+01
Step 700,    w=0.69,    min_err=,    1.55528e+01
Step 750,    w=0.69,    min_err=,    1.54821e+01
Step 800,    w=0.68,    min_err=,    1.53711e+01
Step 850,    w=0.68,    min_err=,    1.49516e+01
Step 900,    w=0.68,    min_err=,    1.46435e+01
Step 950,    w=0.68,    min_err=,    1.46034e+01
Step 1000,    w=0.67,    min_err=,    1.44781e+01
Step 1050,    w=0.67,    min_err=,    1.41243e+01
Step 1100,    w=0.67,    min_err=,    1.39651e+01
Step 1150,    w=0.66,    min_err=,    1.37604e+01
Step 1200,    w=0.66,    min_err=,    1.36115e+01
Step 1250,    w=0.66,    min_err=,    1.34732e+01
Step 1300,    w=0.66,    min_err=,    1.32704e+01
Step 1350,    w=0.65,    min_err=,    1.32269e+01
Step 1400,    w=0.65,    min_err=,    1.31008e+01
Step 1450,    w=0.65,    min_err=,    1.29782e+01
Step 1500,    w=0.64,    min_err=,    1.26776e+01
Step 1550,    w=0.64,    min_err=,    1.25379e+01
Step 1600,    w=0.64,    min_err=,    1.22875e+01
Step 1650,    w=0.64,    min_err=,    1.20761e+01
Step 1700,    w=0.63,    min_err=,    1.15857e+01
Step 1750,    w=0.63,    min_err=,    1.15249e+01
Step 1800,    w=0.63,    min_err=,    1.10314e+01
Step 1850,    w=0.62,    min_err=,    1.08600e+01
Step 1900,    w=0.62,    min_err=,    1.05546e+01
Step 1950,    w=0.62,    min_err=,    1.03743e+01
Step 2000,    w=0.62,    min_err=,    1.02919e+01
Step 2050,    w=0.61,    min_err=,    1.01525e+01
Step 2100,    w=0.61,    min_err=,    1.01358e+01
Step 2150,    w=0.61,    min_err=,    9.79551e+00
Step 2200,    w=0.60,    min_err=,    9.47060e+00
Step 2250,    w=0.60,    min_err=,    9.40108e+00
Step 2300,    w=0.60,    min_err=,    9.23416e+00
Step 2350,    w=0.60,    min_err=,    9.21325e+00
Step 2400,    w=0.59,    min_err=,    9.14277e+00
Step 2450,    w=0.59,    min_err=,    9.14277e+00
Step 2500,    w=0.59,    min_err=,    9.10348e+00
Step 2550,    w=0.58,    min_err=,    8.94248e+00
Step 2600,    w=0.58,    min_err=,    8.86716e+00
Step 2650,    w=0.58,    min_err=,    8.82897e+00
Step 2700,    w=0.58,    min_err=,    8.76713e+00
Step 2750,    w=0.57,    min_err=,    8.76324e+00
Step 2800,    w=0.57,    min_err=,    8.67657e+00
Step 2850,    w=0.57,    min_err=,    8.64059e+00
Step 2900,    w=0.56,    min_err=,    8.54716e+00
Step 2950,    w=0.56,    min_err=,    8.53069e+00
Step 3000,    w=0.56,    min_err=,    8.47253e+00
Step 3050,    w=0.56,    min_err=,    8.30600e+00
Step 3100,    w=0.55,    min_err=,    8.25778e+00
Step 3150,    w=0.55,    min_err=,    8.22679e+00
Step 3200,    w=0.55,    min_err=,    8.22679e+00
Step 3250,    w=0.54,    min_err=,    8.11873e+00
Step 3300,    w=0.54,    min_err=,    8.11873e+00
Step 3350,    w=0.54,    min_err=,    8.04041e+00
Step 3400,    w=0.53,    min_err=,    8.03575e+00
Step 3450,    w=0.53,    min_err=,    7.97948e+00
Step 3500,    w=0.53,    min_err=,    7.91282e+00
Step 3550,    w=0.53,    min_err=,    7.86939e+00
Step 3600,    w=0.52,    min_err=,    7.84505e+00
Step 3650,    w=0.52,    min_err=,    7.77613e+00
Step 3700,    w=0.52,    min_err=,    7.71105e+00
Step 3750,    w=0.51,    min_err=,    7.68066e+00
Step 3800,    w=0.51,    min_err=,    7.65003e+00
Step 3850,    w=0.51,    min_err=,    7.53570e+00
Step 3900,    w=0.51,    min_err=,    7.50925e+00
Step 3950,    w=0.50,    min_err=,    7.47728e+00
Step 4000,    w=0.50,    min_err=,    7.47728e+00
Step 4050,    w=0.50,    min_err=,    7.41257e+00
Step 4100,    w=0.49,    min_err=,    7.39622e+00
Step 4150,    w=0.49,    min_err=,    7.36883e+00
Step 4200,    w=0.49,    min_err=,    7.35782e+00
Step 4250,    w=0.49,    min_err=,    7.35231e+00
Step 4300,    w=0.48,    min_err=,    7.33017e+00
Step 4350,    w=0.48,    min_err=,    7.32461e+00
Step 4400,    w=0.48,    min_err=,    7.32461e+00
Step 4450,    w=0.47,    min_err=,    7.31348e+00
Step 4500,    w=0.47,    min_err=,    7.31348e+00
Step 4550,    w=0.47,    min_err=,    7.31348e+00
Step 4600,    w=0.47,    min_err=,    7.31348e+00
Step 4650,    w=0.46,    min_err=,    7.31348e+00
Step 4700,    w=0.46,    min_err=,    7.31348e+00
Step 4750,    w=0.46,    min_err=,    7.31348e+00
Step 4800,    w=0.45,    min_err=,    7.31348e+00
Step 4850,    w=0.45,    min_err=,    7.31348e+00
Step 4900,    w=0.45,    min_err=,    7.31348e+00
Step 4950,    w=0.45,    min_err=,    7.31348e+00
Step 5000,    w=0.44,    min_err=,    7.31348e+00
Step 5050,    w=0.44,    min_err=,    7.31348e+00
Step 5100,    w=0.44,    min_err=,    7.31348e+00
Step 5150,    w=0.43,    min_err=,    7.31348e+00
Step 5200,    w=0.43,    min_err=,    7.31348e+00
Step 5250,    w=0.43,    min_err=,    7.31348e+00
Step 5300,    w=0.43,    min_err=,    7.31348e+00
Step 5350,    w=0.42,    min_err=,    7.31348e+00
Step 5400,    w=0.42,    min_err=,    7.31348e+00
Step 5450,    w=0.42,    min_err=,    7.31348e+00
Step 5500,    w=0.41,    min_err=,    7.31348e+00
Step 5550,    w=0.41,    min_err=,    7.31348e+00
Step 5600,    w=0.41,    min_err=,    7.30790e+00
Step 5650,    w=0.41,    min_err=,    7.30232e+00
Step 5700,    w=0.40,    min_err=,    7.30232e+00
Step 5750,    w=0.40,    min_err=,    7.30232e+00
Step 5800,    w=0.40,    min_err=,    7.29672e+00
Step 5850,    w=0.39,    min_err=,    7.29672e+00
Step 5900,    w=0.39,    min_err=,    7.29112e+00
Step 5950,    w=0.39,    min_err=,    7.29112e+00
Step 6000,    w=0.39,    min_err=,    7.29112e+00
Step 6050,    w=0.38,    min_err=,    7.29112e+00
Step 6100,    w=0.38,    min_err=,    7.28551e+00
Step 6150,    w=0.38,    min_err=,    7.28551e+00
Step 6200,    w=0.37,    min_err=,    7.28551e+00
Step 6250,    w=0.37,    min_err=,    7.28551e+00
Step 6300,    w=0.37,    min_err=,    7.28551e+00
Step 6350,    w=0.37,    min_err=,    7.28551e+00
Step 6400,    w=0.36,    min_err=,    7.28551e+00
Step 6450,    w=0.36,    min_err=,    7.28551e+00
Step 6500,    w=0.36,    min_err=,    7.28551e+00
Step 6550,    w=0.35,    min_err=,    7.28551e+00
Step 6600,    w=0.35,    min_err=,    7.28551e+00
Step 6650,    w=0.35,    min_err=,    7.28551e+00
Step 6700,    w=0.35,    min_err=,    7.28551e+00
Step 6750,    w=0.34,    min_err=,    7.28551e+00
Step 6800,    w=0.34,    min_err=,    7.28551e+00
Step 6850,    w=0.34,    min_err=,    7.28551e+00
Step 6900,    w=0.33,    min_err=,    7.28551e+00
Step 6950,    w=0.33,    min_err=,    7.28551e+00
Step 7000,    w=0.33,    min_err=,    7.28551e+00
Step 7050,    w=0.33,    min_err=,    7.28551e+00
Step 7100,    w=0.32,    min_err=,    7.28551e+00
Step 7150,    w=0.32,    min_err=,    7.28551e+00
Step 7200,    w=0.32,    min_err=,    7.28551e+00
Step 7250,    w=0.31,    min_err=,    7.28551e+00
Step 7300,    w=0.31,    min_err=,    7.28551e+00
Step 7350,    w=0.31,    min_err=,    7.28551e+00
Step 7400,    w=0.31,    min_err=,    7.28551e+00
Step 7450,    w=0.30,    min_err=,    7.28551e+00
Step 7500,    w=0.30,    min_err=,    7.28551e+00
Step 7550,    w=0.30,    min_err=,    7.28551e+00
Step 7600,    w=0.30,    min_err=,    7.28551e+00
Step 7650,    w=0.30,    min_err=,    7.28551e+00
Step 7700,    w=0.30,    min_err=,    7.28551e+00
Step 7750,    w=0.30,    min_err=,    7.28551e+00
Step 7800,    w=0.30,    min_err=,    7.28551e+00
Step 7850,    w=0.30,    min_err=,    7.28551e+00
Step 7900,    w=0.30,    min_err=,    7.28551e+00
Step 7950,    w=0.30,    min_err=,    7.28551e+00
Step 8000,    w=0.30,    min_err=,    7.28551e+00
Step 8050,    w=0.30,    min_err=,    7.28551e+00
Step 8100,    w=0.30,    min_err=,    7.28551e+00
Step 8150,    w=0.30,    min_err=,    7.28551e+00
Step 8200,    w=0.30,    min_err=,    7.28551e+00
Step 8250,    w=0.30,    min_err=,    7.28551e+00
Step 8300,    w=0.30,    min_err=,    7.28551e+00
Step 8350,    w=0.30,    min_err=,    7.28551e+00
Step 8400,    w=0.30,    min_err=,    7.28551e+00
Step 8450,    w=0.30,    min_err=,    7.28551e+00
Step 8500,    w=0.30,    min_err=,    7.28551e+00
Step 8550,    w=0.30,    min_err=,    7.28551e+00
Step 8600,    w=0.30,    min_err=,    7.28551e+00
Step 8650,    w=0.30,    min_err=,    7.28551e+00
Step 8700,    w=0.30,    min_err=,    7.28551e+00
